date,text
2016-07-07,我校召开普通本专科招生委员会2016年工作会议
2016-07-06,我校天津市中国特色社会主义理论体系研究中心基地召开工作交流会
2016-07-04,我校学生在天津市大学生化学竞赛中获佳绩
2016-07-01,宁月茹副书记讲党课
2016-07-01,我校组织师生党员收看庆祝中国共产党成立95周年大会直播
2016-06-30,我校举行庆祝中国共产党成立95周年暨“七一”表彰大会
2016-06-30,纪念中国共产党成立95周年天津师范大学党建工作巡礼展开展
2016-06-30,天津师范大学滨海附属学校开工奠基
2016-06-29,我校举行2016年诚信教育宣传月总结大会
2016-06-29,双周音乐会迎来校学生民乐团专场
2016-06-29,文学院赵利民教授荣获“天津市有突出贡献专家”称号
2016-06-29,第二届全国心理服务机构发展模式研讨会在我校召开
2016-06-28,我校举行2016年校园开放日暨招生咨询会活动
2016-06-28,天津师范大学现代陶瓷艺术研究所成立仪式举行
2016-06-28,我校第十三届青年教师教学基本功竞赛圆满结束
2016-06-27,高端人才工作推动会召开
2016-06-27,我校召开“两学一做”学习教育阶段总结和推动会
2016-06-24,市委副书记王东峰来校调研指导工作
2016-06-23,我校举办中心组学习报告会 王辅成讲“两学一做”学习教育专题党课
2016-06-23,高玉葆校长出席第五批全国古籍重点保护单位颁牌仪式
2016-06-22,2016年“学风杯”校园辩论赛决赛举行
2016-06-21,校党委中心组开展集体学习
2016-06-17,教育科学学院第四届“新视野”学术文化节闭幕
2016-06-15,我校举行2016年本科生毕业典礼暨学位授予仪式
2016-06-15,副市长曹小红来校检查高考阅卷工作
2016-06-14,我校举行2016年本科生首场毕业典礼暨学位授予仪式
2016-06-14,我校在天津市教育系统“两学一做”学习教育阶段总结和推动会上做交流发言
2016-06-13,我校举行2016届研究生毕业典礼暨学位授予仪式
2016-06-13,我校召开学生党建工作研讨暨“两学一做”学习教育第一专题总结交流会
2016-06-13,我校参与成立的京津冀教育协同发展研究院举行成立仪式
2016-06-13,市委教育工委副书记杨清海带队检查我校宣传思想工作
2016-06-08,用习近平总书记重要讲话精神统一思想和行动  担负起加快构建中国特色哲学社会科学的历史使命
2016-06-06,我校举办第13期中青年骨干教师培训班总结交流会暨第14期培训班开班典礼
2016-06-06,我校召开学习贯彻习总书记“在哲学社会科学工作座谈会上的讲话”专题会议
2016-06-03,校领导分别深入所在支部、分管单位讲“两学一做”专题党课
2016-06-03,我校召开食品安全大检查、大整改工作部署会
2016-06-03,2015－2016学年度新疆籍少数民族学生学习交流会召开
2016-09-09,我校天津市教育科学“十三五”规划课题立项喜获佳绩
2016-09-07,我校迎来2016级新生
2016-09-07,我校举办党群口主要负责同志党性锻炼培训班
2016-09-06,我校佟德志教授领衔获批国家社科基金“治国理政”专项工程项目
2016-09-05,中韩合作办学硕士研究生学位授予仪式暨新生开学典礼举行
2016-09-05,我校召开新学期工作部署会
2016-09-05,我校2016年度教育部人文社会科学研究项目立项再创佳绩
2016-09-05,我校教师参加2016全球学习联盟会议
2016-09-05,我校召开赴台研究生交流学习工作行前培训会
2016-09-05,我校获批国家重点研发计划项目支持
2016-09-04,我校开展危险化学品大检查大排查大整治工作督查
2016-09-04,我校开展危险化学品大检查大排查大整治工作督查
2016-08-29,我校召开第二期赴美国密歇根大学、哥伦比亚大学骨干教师行前培训会
2016-08-25,我校成功承办国际地理联合会执委会工作会议
2016-08-24,高玉葆校长接见奥运冠军、我校在校生王镇
2016-08-24,我校召开“两学一做”学习教育推进会
2016-08-17,我校学生在第二届全国高校全日制教育硕士学科教学（历史）专业教学技能大赛中喜获佳绩
2016-08-15,曹小红副市长来我校进行安全生产检查
2016-08-13,师大学子包揽奥运男子20公里竞走冠亚军
2016-08-10,我校召开赴英国牛津大学、帝国理工大学青年骨干教师行前教育培训会
2016-08-04,我校学生在全国大学生与研究生物理教学技能暨自制教具展评中获多项一等奖
2016-08-04,第五届世界大学生龙舟锦标赛我校勇夺四项冠军
2016-08-01,“第三届婚姻家庭治疗国际研讨会”在我校召开
2016-08-01,“家庭与儿童心理咨询研究中心”揭牌仪式举行
2016-08-01,梁福成副校长赴新疆慰问“于田县幼儿园质量提升项目”教师
2016-07-27,全国大学生桥牌锦标赛我校获佳绩
2016-07-20,我校与美国哥伦比亚大学、北京师范大学、河南大学、人教社等达成组建联合研究团队意向
2016-07-19,我校在津、冀两省市本科一批次录取工作圆满结束
2016-07-15,澳大利亚阿德莱德大学化工学院纳米技术首席教授乔世璋受聘为我校客座教授并做客我校“学术前...
2016-07-15,我校承办“河西区教育系统党政领导干部领导力提升与教育管理创新培训班”开班
2016-07-14,校党委中心组开展“两学一做”学习教育第二专题学习讨论
2016-07-14,我校2016年学生工作队伍专项培训圆满结束
2016-07-13,红桥区2016年处级领导干部进修班在我校开展培训
2016-07-13,杨恩翠教授荣获第十三届天津青年科技奖
2016-07-08,我校与贵州省铜仁市签署合作框架协议
2016-07-07,学校传达落实天津市高等院校党的建设工作座谈会精神
2016-07-07,我校召开普通本专科招生委员会2016年工作会议
